"year","model","race_group","bio_tkm2","cv_tkm2"
1990,"EGOA","Arrowtooth flounder adult",2.11503144892955,0.494355482240196
1990,"EGOA","Arrowtooth flounder juvenile",0.00471176715283837,0.494355482240196
1990,"EGOA","Big skate",0.134928310752021,1.10453372985443
1990,"EGOA","Chinook (king) salmon",0.0101451184965659,1.042178210841
1990,"EGOA","Chum (dog) salmon",0.00926735982365728,1.09187453339933
1990,"EGOA","Coho (silver) salmon",4.68643974318312e-05,2.82842712474619
1990,"EGOA","Deep-water flatfish",0.279678411517319,0.422842176631207
1990,"EGOA","Demersal shelf rockfish",0.0173624646965691,0.861918214649973
1990,"EGOA","Flathead sole adult",0.269861659712884,0.907439365375003
1990,"EGOA","Flathead sole juvenile",0.000660601440776636,0.907439365375003
1990,"EGOA","Gelatinous carnivores",0.401779237536732,0.356471145780055
1990,"EGOA","Infauna",0.000144809089278872,1.17717784910534
1990,"EGOA","King crab",8.99840298710642e-05,2.69573088067258
1990,"EGOA","Large sculpins",0.00181635709366291,2.21587702662517
1990,"EGOA","Lingcod",0.110204966290611,0.544845602888028
1990,"EGOA","Longnose skate",0.0263072268031058,0.889695199325186
1990,"EGOA","Miscellaneous deep-sea fish",2.93476296888754e-05,1.35433945779406
1990,"EGOA","Motile epifauna",0.0625737818238524,0.444990980586393
1990,"EGOA","Octopus",0.00060840205477289,0.787843504333235
1990,"EGOA","Other skates",0.00732101148759042,1.09710379231114
1990,"EGOA","Pacific capelin",0.000168352665279518,1.85163019435523
1990,"EGOA","Pacific cod adult",0.29844066426327,0.452789315100946
1990,"EGOA","Pacific cod juvenile",0.00336245234680976,0.452789315100946
1990,"EGOA","Pacific dogfish",0.0381428545788456,0.566057178995161
1990,"EGOA","Pacific halibut adult",0.337040942301204,0.466684217340105
1990,"EGOA","Pacific herring",0.0953860940646543,2.00505072048168
1990,"EGOA","Pacific ocean perch adult",1.19036472189773,1.27235632032296
1990,"EGOA","Pacific ocean perch juvenile",0.00252158765704028,1.27235632032296
1990,"EGOA","Pacific sandlance",1.56166945499598e-05,2.55458596038689
1990,"EGOA","Pacific sleeper shark",0.00202804918217961,5.09901951359279
1990,"EGOA","Pandalid shrimp",0.0230759169972464,0.699064161478143
1990,"EGOA","Pelagic shelf rockfish",0.0820884169525333,2.21033134155476
1990,"EGOA","Pink (humpback) salmon",0.00140700832729986,2.9312073978332
1990,"EGOA","Rex sole adult",0.19087343377389,0.691022392664402
1990,"EGOA","Rex sole juvenile",0.000514186626225186,0.691022392664402
1990,"EGOA","Sablefish adult",0.272678779236194,0.455569312893545
1990,"EGOA","Sablefish juvenile",0.000875172391847324,0.455569312893545
